,eventID,EarthquakeMagnitude,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,max_epicentral,max_hypocentral,max_rupture
nn00421583,nn00421583,2.7,2013-08-28T01:34:56.505000Z,39.8179,-119.5056,14.1,304.24,304.24,304.45
nn00138182,nn00138182,2.5,2005-05-05T20:15:48.385000Z,39.3435,-119.9992,10.3,285.32,285.94,285.41
nc51212688,nc51212688,2.8,2008-12-10T02:16:14.000000Z,39.71133,-120.194,-1.02,305.25,305.43,305.43
nc72973441,nc72973441,2.9,2018-02-21T20:59:10.690000Z,39.34417,-120.02717,-2.1,303.78,304.04,304.12
nn00243008,nn00243008,3.2,2008-04-27T18:31:10.687000Z,39.5311,-119.937,0.2,305.76,305.09,305.53
nn00380529,nn00380529,2.5,2012-06-27T00:58:10.613000Z,39.3079,-119.9871,7.4,303.72,304.28,303.71
nn00244029,nn00244029,2.8,2008-05-04T09:22:25.152000Z,39.5086,-119.9175,1.9,305.95,305.2,305.81
nn00178608,nn00178608,3.4,2006-04-05T12:03:16.885000Z,39.082,-119.0062,4.9,305.06,305.11,304.84
nn00242588,nn00242588,2.6,2008-04-26T08:35:22.442000Z,39.5235,-119.9305,3.0,305.47,305.11,305.37
nn00341416,nn00341416,3.1,2011-06-22T20:00:15.734000Z,39.3231,-119.9872,6.4,305.34,305.88,305.22
nn00169321,nn00169321,3.6,2005-11-29T04:45:41.190000Z,39.0793,-119.0115,6.1,304.54,304.79,304.27
nn00888591,nn00888591,3.0,2024-12-09T23:30:07.189000Z,39.1699,-119.0375,12.3,305.54,305.9,305.63
nn00307267,nn00307267,3.2,2010-03-24T02:21:03.232000Z,38.8217,-119.3694,7.5,305.44,305.27,305.32
nn00242715,nn00242715,2.9,2008-04-26T14:35:29.148000Z,39.5151,-119.9209,2.7,305.61,304.87,305.47
nn00242527,nn00242527,4.8,2008-04-26T06:39:59.648000Z,39.5212,-119.9279,2.8,305.33,305.03,304.21
nn00248821,nn00248821,2.8,2008-06-09T07:41:08.776000Z,39.5434,-119.9174,3.7,305.74,305.02,305.63
nn00253832,nn00253832,2.6,2008-07-12T00:19:29.834000Z,39.1029,-118.9456,6.6,304.57,304.11,304.53
nn00879860,nn00879860,2.5,2024-06-23T05:59:21.035000Z,38.8726,-118.988,12.6,305.58,305.28,305.75
nn00242382,nn00242382,3.2,2008-04-25T17:30:10.090000Z,39.5277,-119.9299,1.9,305.28,305.14,305.08
nc21099303,nc21099303,2.8,2000-05-22T05:53:58.790000Z,38.94933,-119.98667,2.76,284.03,283.8,283.9
nn00067198,nn00067198,3.3,2003-05-04T12:07:10.409000Z,39.5195,-119.568,8.4,302.07,302.29,301.95
nc71522186,nc71522186,2.6,2011-01-30T09:36:13.130000Z,39.24167,-120.09933,6.12,299.64,300.14,299.59
nn00870310,nn00870310,2.7,2023-12-19T16:01:07.982000Z,39.6231,-119.6351,6.3,304.01,303.71,303.95
nn00888959,nn00888959,2.9,2024-12-10T12:36:20.418000Z,39.1284,-119.0144,12.2,305.49,306.12,305.59
nn00242529,nn00242529,2.6,2008-04-26T06:45:07.758000Z,39.5249,-119.9325,3.9,304.66,304.77,304.57
nc71680395,nc71680395,2.7,2011-11-22T18:23:26.070000Z,39.40733,-120.14133,6.63,301.3,301.47,301.25
nn00241152,nn00241152,3.3,2008-04-15T14:59:37.330000Z,39.5317,-119.9347,2.2,305.55,304.9,305.32
nn00106671,nn00106671,2.5,2004-06-07T11:19:53.881000Z,39.8012,-120.0762,12.4,304.84,305.05,305.0
nc21254752,nc21254752,2.5,2002-11-15T01:06:56.600000Z,39.79533,-120.2945,9.74,300.56,300.98,300.62
nn00258424,nn00258424,2.5,2008-08-25T17:34:57.761000Z,39.5434,-119.9382,6.2,305.17,305.59,305.13
nc73027576,nc73027576,2.5,2018-06-09T00:32:12.210000Z,38.8325,-119.80417,-2.05,297.43,297.75,297.76
nn00279151,nn00279151,3.0,2008-04-26T07:32:20.424000Z,39.5283,-119.9158,2.5,304.4,304.75,304.23
nn00178631,nn00178631,3.2,2006-03-23T00:13:56.158000Z,39.3452,-119.9815,6.0,296.97,297.25,296.82
nc72241101,nc72241101,2.8,2014-06-21T00:27:12.270000Z,39.34883,-120.001,-1.92,298.2,298.39,298.51
nn00282304,nn00282304,2.5,2008-04-26T13:31:25.746000Z,39.529,-119.9202,0.8,302.93,302.83,302.83
nn00751484,nn00751484,2.7,2020-06-21T19:09:33.120000Z,39.6011,-119.0876,13.8,303.75,304.08,303.95
nn00105633,nn00105633,3.0,2004-05-12T07:33:48.710000Z,39.0827,-119.0053,7.4,305.17,305.28,305.09
nn00889487,nn00889487,2.9,2024-12-13T15:25:12.983000Z,39.1607,-119.0388,10.3,304.76,304.76,304.79
nc73036051,nc73036051,2.6,2018-06-26T07:04:20.600000Z,39.32417,-120.1405,5.46,304.86,304.93,304.8
nc75037262,nc75037262,2.7,2024-07-20T14:19:55.500000Z,39.13233,-120.03367,6.19,302.33,302.81,302.27
nn00295940,nn00295940,2.5,2009-10-22T13:59:21.748000Z,39.1285,-119.6901,7.6,299.49,299.28,299.49
nn00162500,nn00162500,3.2,2005-09-16T15:09:33.025000Z,39.0722,-119.6322,9.9,305.06,304.99,305.01
nc72822151,nc72822151,2.9,2017-06-27T10:35:47.550000Z,39.47167,-120.32717,-1.4,305.02,304.81,305.26
nn00888760,nn00888760,2.7,2024-12-10T03:16:16.140000Z,39.1704,-119.0185,9.6,305.56,305.25,305.59
nn00243658,nn00243658,3.2,2008-05-01T20:14:14.808000Z,39.5445,-119.9206,1.3,303.97,303.32,303.76
nc21465580,nc21465580,4.8,2005-06-26T18:45:57.790000Z,39.305,-120.09283,-2.26,303.12,302.4,305.61
nn00516642,nn00516642,3.0,2015-10-28T14:22:23.527000Z,39.0892,-119.6352,10.5,304.85,305.42,304.87
nn00759625,nn00759625,2.6,2020-07-13T02:56:39.647000Z,39.582,-119.0967,11.2,301.63,301.85,301.74
nn00256173,nn00256173,2.6,2008-08-01T19:30:33.583000Z,39.5835,-119.9831,2.0,305.18,305.34,305.07
nn00250426,nn00250426,2.8,2008-04-24T23:08:41.808000Z,39.5176,-119.925,2.7,305.24,304.58,305.11
nc73815951,nc73815951,3.1,2022-12-08T02:46:32.300000Z,39.631,-120.1395,-1.24,305.73,305.97,305.97
nn00169297,nn00169297,2.5,2005-11-28T22:28:57.138000Z,39.0802,-119.0136,7.4,303.91,303.44,303.9
nc73563860,nc73563860,3.4,2021-05-17T19:24:39.900000Z,39.127,-120.03167,7.17,305.53,305.98,305.37
nn00861727,nn00861727,3.4,2023-06-26T01:50:47.821000Z,39.6486,-119.6521,10.3,304.63,304.6,304.54
nn00066198,nn00066198,3.5,2003-04-05T14:18:26.138000Z,39.3793,-119.2481,12.8,301.33,301.06,301.32
nn00860639,nn00860639,3.7,2023-06-02T00:23:05.353000Z,39.6139,-119.9797,7.1,304.14,304.26,303.86
nn00190934,nn00190934,4.2,2005-09-16T15:09:44.424000Z,39.0647,-119.6272,10.4,304.88,304.83,304.46
